query,cpu,disk,executionTime
"SELECT * FROM EMP,DEPT WHERE EMP.DEPTNO=DEPT.DEPTNO;",19,2,20
"SELECT * FROM EMP,DEPT,PRODUCTS,RECORDS,ACCOUNT;",22,2,20
"UPDATE  EMP SET SAL  = 0.5 * SAL;",14,18,50
"CREATE TABLE EMP (EMPNO NUMBER,ENAME VARCHAR(25),JOB CHAR(10) ,HIREDATE DATE);",8,13,30
"ALTER TABLE EMP ADD (DEPTNO SHORT);",9,12,40
"ALTER TABLE EMP DROP HIREDATE;",9,18,50
"DROP TABLE EMP_OLD;",8,18,20
"SELECT * FROM EMP;",7,2,10
"SELECT ENAME FROM EMP;",6,2,10
"SELECT ENO,ENAME,SAL FROM EMP;",8,2,10
"SELECT ENO,ENAME,SALARY AS SAL FROM EMP;",7,2,10
"SELECT ENO AS EMPNO,ENAME AS EMPNAME ,SAL AS SALARY FROM EMP;",25,2,10
"SELECT COUNT(SAL) AS TOTALSAL FROM EMP;",11,6,20
"SELECT SAL / 12 FROM EMP;",9,2,10
"SELECT SAL / 12 AS MONTHLY_SALARY FROM EMP;",8,2,10
"SELECT ENAME,(SAL / 12) + NVL(COMM,0) AS MONTHSALWITHCOMM FROM EMP;",11,2,10
"SELECT E.ENAME, D.DEPTNO,E.SAL FROM EMP E,DEPT D;",17,9,30
"SELECT E.ENAME, D.DEPTNO,E.SAL FROM EMP E,DEPT D  WHERE E.DEPTNO=D.DEPTNO;",15,2,10
"SELECT ENAME,SAL FROM EMP  WHERE SAL>2000;",8,2,10
"SELECT * FROM EMP WHERE EMPNO=1003;",6,7,30
"SELECT * FROM EMP WHERE ENAME NOT IN('SCOTT','WARD','ALLEN');",6,2,10
"SELECT * FROM EMP WHERE COMM IS  NULL;",7,2,10
"SELECT * FROM EMP WHERE ENAME NOT LIKE 'A%';",8,4,30
"SELECT * FROM EMP WHERE COMM IS NOT NULL AND SAL >2000 AND DEPTNO>20;",8,2,10
"SELECT * FROM EMP WHERE SAL>2000 AND DEPTNO>20 AND ENAME NOT LIKE(A%);",7,2,10
"SELECT * FROM EMP WHERE DEPTNO<20 AND COMM IS NOT NULL OR SAL IN{1000,2000,3000,4000};",6,2,10
"SELECT * FROM EMP MINUS SELECT * FROM EMP WHERE ROWNUM <= (SELECT COUNT(*) - &N FROM EMP);",9,2,10
"SELECT * FROM DEPT WHERE DEPTNO NOT IN (SELECT DEPTNO FROM EMP);",6,5,20
"SELECT * FROM EMP B WHERE A.DEPTNO = B.DEPTNO;",16,2,10
"SELECT EMPNO,ENAME,B.DEPTNO,DNAME FROM EMP A, DEPT B WHERE A.DEPTNO(+) = B.DEPTNO AND EMPNO IS NULL;",21,4,30
"SELECT DISTINCT SAL FROM EMP A WHERE 3 >= (SELECT COUNT(DISTINCT SAL) FROM EMP B WHERE A.SAL <= B.SAL) ORDER BY A.SAL DESC;",25,10,10
"SELECT DISTINCT SAL FROM EMP A  WHERE 3 >= (SELECT COUNT(DISTINCT SAL) FROM EMP B  WHERE A.SAL >= B.SAL);",26,2,10
"SELECT DISTINCT HIREDATE FROM EMP A WHERE &N =  (SELECT COUNT(DISTINCT SAL) FROM EMP B WHERE A.SAL >= B.SAL);",21,2,10
"SELECT * FROM EMP A WHERE  ROWID = (SELECT MAX(ROWID) FROM EMP B WHERE  A.EMPNO=B.EMPNO);",24,8,30
"DELETE FROM EMP A WHERE ROWID != (SELECT MAX(ROWID) FROM EMP B WHERE  A.EMPNO=B.EMPNO);",24,20,50
